TOKEN           LEXEME
----------------------
KEYWORDS        function
IDENTIFIER      max
SEPARATOR       (
IDENTIFIER      x
KEYWORDS        integer
SEPARATOR       ,
IDENTIFIER      y
KEYWORDS        integer
SEPARATOR       )
SEPARATOR       {
KEYWORDS        if
SEPARATOR       (
IDENTIFIER      x
OPERATOR        >
IDENTIFIER      y
SEPARATOR       )
KEYWORDS        ret
IDENTIFIER      x
SEPARATOR       ;
KEYWORDS        else
KEYWORDS        ret
IDENTIFIER      y
SEPARATOR       ;
KEYWORDS        endif
SEPARATOR       }
KEYWORDS        integer
SEPARATOR       ,
SEPARATOR       ,
IDENTIFIER      maximum
SEPARATOR       ;
KEYWORDS        get
SEPARATOR       (
SEPARATOR       ,
SEPARATOR       )
SEPARATOR       ;
IDENTIFIER      maximum
OPERATOR        =
IDENTIFIER      max
SEPARATOR       (
SEPARATOR       ,
SEPARATOR       )
SEPARATOR       ;
KEYWORDS        put
SEPARATOR       (
IDENTIFIER      maximum
SEPARATOR       )
SEPARATOR       ;
